timestamp,cpu_percent,memory_percent,latency_ms,error_rate,requests_per_second,active_pods,label
2026-01-23T01:31:54.438205,100.0,21.03,725.09,0.5244,811,10,normal
2026-01-23T01:31:59.438205,100.0,20.78,463.49,0.0915,654,11,normal
2026-01-23T01:32:04.438205,90.82,22.59,322.73,0.001,646,12,normal
2026-01-23T01:32:09.438205,74.15,20.06,78.38,0.001,594,13,normal
2026-01-23T01:32:14.438205,72.24,19.14,156.06,0.001,611,13,normal
2026-01-23T01:32:19.438205,78.31,20.07,110.08,0.001,579,13,normal
2026-01-23T01:32:24.438205,79.26,21.0,167.34,0.001,684,14,normal
2026-01-23T01:32:29.438205,63.83,20.08,59.42,0.001,516,15,normal
2026-01-23T01:32:34.438205,74.56,20.5,107.05,0.001,708,15,normal
2026-01-23T01:32:39.438205,76.66,18.74,160.59,0.001,707,15,normal
2026-01-23T01:32:44.438205,55.92,21.0,27.73,0.001,509,16,normal
2026-01-23T01:32:49.438205,69.28,20.51,160.7,0.001,772,16,normal
2026-01-23T01:32:54.438205,57.63,20.69,73.14,0.001,773,16,normal
2026-01-23T01:32:59.438205,68.28,20.2,44.59,0.001,635,16,normal
2026-01-23T01:33:04.438205,66.91,20.05,26.24,0.001,674,16,normal
2026-01-23T01:33:09.438205,52.37,18.63,43.22,0.001,502,16,normal
2026-01-23T01:33:14.438205,69.07,21.35,41.23,0.001,628,16,normal
2026-01-23T01:33:19.438205,55.63,21.62,49.66,0.001,609,16,normal
2026-01-23T01:33:24.438205,67.63,21.07,45.9,0.001,595,16,normal
2026-01-23T01:33:29.438205,55.48,20.7,27.09,0.001,495,16,normal
2026-01-23T01:33:34.438205,50.36,20.97,67.72,0.001,576,16,normal
2026-01-23T01:33:39.438205,51.26,18.33,63.35,0.001,523,16,normal
2026-01-23T01:33:44.438205,67.91,20.28,38.23,0.001,591,16,normal
2026-01-23T01:33:49.438205,64.93,18.91,34.1,0.001,631,16,normal
2026-01-23T01:33:54.438205,62.42,21.65,58.96,0.001,603,16,normal
2026-01-23T01:33:59.438205,77.44,20.08,110.29,0.001,735,16,normal
2026-01-23T01:34:04.438205,73.44,19.68,36.11,0.001,665,17,normal
2026-01-23T01:34:09.438205,62.52,20.11,61.61,0.001,676,17,normal
2026-01-23T01:34:14.438205,69.02,20.34,48.4,0.001,634,17,normal
2026-01-23T01:34:19.438205,65.04,19.75,54.34,0.001,718,17,normal
2026-01-23T01:34:24.438205,71.06,19.76,40.13,0.001,684,17,normal
2026-01-23T01:34:29.438205,66.56,20.4,65.92,0.001,729,17,normal
2026-01-23T01:34:34.438205,57.2,21.17,36.45,0.001,612,17,normal
2026-01-23T01:34:39.438205,55.08,21.08,39.71,0.001,639,17,normal
2026-01-23T01:34:44.438205,95.99,18.92,190.72,0.001,903,17,normal
2026-01-23T01:34:49.438205,52.59,20.46,31.21,0.001,519,18,normal
2026-01-23T01:34:54.438205,84.51,22.31,145.35,0.001,847,18,normal
2026-01-23T01:34:59.438205,45.6,19.89,53.61,0.001,618,19,normal
2026-01-23T01:35:04.438205,59.62,19.94,49.53,0.001,733,19,normal
2026-01-23T01:35:09.438205,41.82,19.29,56.47,0.001,523,19,normal
2026-01-23T01:35:14.438205,71.28,18.59,92.3,0.001,765,19,normal
2026-01-23T01:35:19.438205,85.89,21.56,74.65,0.001,741,19,normal
2026-01-23T01:35:24.438205,95.41,19.89,124.1,0.001,899,20,normal
2026-01-23T01:35:29.438205,63.73,20.76,73.21,0.001,592,21,normal
2026-01-23T01:35:34.438205,67.7,20.27,93.55,0.001,667,21,normal
2026-01-23T01:35:39.438205,90.71,18.92,77.11,0.001,737,21,normal
2026-01-23T01:35:44.438205,76.3,19.71,69.25,0.001,822,22,normal
2026-01-23T01:35:49.438205,79.11,19.77,76.61,0.001,655,23,normal
2026-01-23T01:35:54.438205,69.38,19.83,76.25,0.001,603,24,normal
2026-01-23T01:35:59.438205,67.24,19.18,92.03,0.001,580,24,normal
2026-01-23T01:36:04.438205,49.71,20.93,75.34,0.001,439,24,normal
2026-01-23T01:36:09.438205,59.27,18.32,80.46,0.001,635,24,normal
2026-01-23T01:36:14.438205,64.15,20.92,108.06,0.001,723,24,normal
2026-01-23T01:36:19.438205,63.5,19.67,102.0,0.001,592,24,normal
2026-01-23T01:36:24.438205,62.58,19.59,67.89,0.001,644,24,normal
2026-01-23T01:36:29.438205,53.14,20.66,44.4,0.001,671,24,normal
2026-01-23T01:36:34.438205,45.01,20.82,57.45,0.001,518,24,normal
2026-01-23T01:36:39.438205,51.85,20.64,51.71,0.001,638,24,normal
2026-01-23T01:36:44.438205,40.97,18.14,38.69,0.001,558,24,normal
2026-01-23T01:36:49.438205,55.91,21.6,28.72,0.001,718,24,normal
2026-01-23T01:36:54.438205,53.46,19.79,49.16,0.001,856,24,normal
2026-01-23T01:36:59.438205,51.89,21.91,59.14,0.001,729,24,normal
2026-01-23T01:37:04.438205,50.14,21.54,49.11,0.001,648,24,normal
2026-01-23T01:37:09.438205,43.01,19.95,46.91,0.001,676,24,normal
2026-01-23T01:37:14.438205,45.44,20.83,35.64,0.001,684,24,normal
2026-01-23T01:37:19.438205,44.53,20.96,56.86,0.001,645,24,normal
2026-01-23T01:37:24.438205,56.82,21.57,87.14,0.001,689,24,normal
2026-01-23T01:37:29.438205,64.81,20.86,94.12,0.001,644,24,normal
2026-01-23T01:37:34.438205,61.19,19.59,71.88,0.001,644,24,normal
